,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,建築物蓋到一半會要追加兩倍以上預,0,0,Q1 判斷無歧視,0,0,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,噁心,0,2,歧視瘦子,1,0,文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,太重的瘦皮猴會舉不起來,2,2,歧視瘦子,1,1,文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,嬯婊一堆肥婆,1,1,歧視胖子,1,1,這篇文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,沒奶的妹子 就沒商量,2,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,寫歌和寫作是兩回事,0,3,Q1 無法判斷,3,0,"根據身體羞辱定義，""寫歌和寫作是兩回事""這樣的文字可能涉及有關於身體羞辱的歧視。這句話暗示了寫歌和寫作是不同的，並暗示了寫歌比寫作更重要或更有價值。這樣的說法可能會讓某些人產生身體羞愧感，因為他們被暗示了寫歌比寫作更重要或更有價值。因此，根據身體羞辱定義，""寫歌和寫作是兩回事""這樣的文字可能涉及有關於身體羞辱的歧視。"
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,胖子可以變瘦 矮要變高就難了,1,1,歧視胖子,1,1,這篇文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,藍的已經麻痺了吧 死豬不怕滾水燙,0,2,答案：歧視瘦子,1,0,這篇文章涉及了身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,157肥肚你想看喔,1,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,感會比較大呢,0,3,Q1 無法判斷,3,0,根据身體羞辱的定義，文章是否涉及有關於身體羞辱的歧視取决于文章中是否有针对某人或某群体的侮辱性言辞或行为，以及这些言辞或行为是否导致被害者感到羞耻或受到不公平对待。如果文章中存在这些因素，那么它很可能涉及有關於身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,印度男人到底有什麼問題,0,0,Q1 判斷無歧視,0,0,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,安檢是肥缺嗎？,0,3,安檢是胖子,1,0,文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,已經分裂啦 還好有老蔣 把他統一了,0,3,很抱歉，我无法回答您的问题，因为您没有提供足够的上下文和背景信息。请提供更详细的信息，以便我更好地回答您的问题。,1,0,文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,沒奶 沒腿,2,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,竹竿身材,2,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,完蛋...500萬,0,2,這篇文章的身體歧視類型是歧視瘦子。,1,0,這篇文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,了,0,3,Q1 無法判斷,3,0,抱歉，我无法回答这个问题，因为您没有提供文章的内容。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,肥婆會怕了齁,1,1,歧視胖子,1,1,這篇文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,太可愛了吧 那個肥腿 我好了,0,1,歧視胖子,1,0,這篇文章涉及身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,龍妹奶很大你很想看嗎？ 請洽惡魔旅館,1,1,歧視胖子,1,1,這篇文章涉及了身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,台灣就紫卡倉管,0,0,Q1 判斷無歧視,0,0,這篇文章並未涉及有關於身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,沒奶就算了 連翹臀也沒有,2,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,當年連軍校都搶破頭 能考上警專算很猛了,0,1,歧視胖子,1,0,這篇文章涉及了身體羞辱的歧視。文章中的“連軍校都搶破頭”和“能考上警專算很猛了”等言辞暗示了對被描述人物的身材和外貌的評價，這些評價可能會讓被描述人物產生身體羞愧感。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,在意個肥婆開條件不知道要幹嘛,1,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,爸媽當肥羊花大錢救回台灣 結果被肥婆騙砲,1,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,肥短腿,1,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,她由黑變白，蘿蔔腿變鳥仔腳，人家其實,2,1,歧視胖子,1,1,這篇文章涉及了身體羞辱的歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,我會 畢竟你不知道哪一次司機沒過勞,0,0,Q1 判斷無歧視,0,0,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
0,沒奶子不可以,2,0,Q1 判斷無歧視,0,1,未涉及歧視。
,sentene,label,fat_skinny,response,predicted,comprehensive,response_Q1
